"TG_DOCNR","TG_DATE","TG_ACCOUNT","TG_FACTOR","TG_ORDER","TG_INVNR"
"   59","31-01-2002","20007",1,"","test"
"   58","24-01-2002","30368",1,"",""
"   57","20-01-2002","30343",1,"",""
"   56","22-01-2002","99999",1,"",""
"   55","15-01-2002","30249",1,"",""
"   54","17-12-2001","30343",1,"",""
"   53","14-12-2001","99999",1,"",""
"   52","12-12-2001","30002",1,"",""
"   51","09-12-2001","30249",1,"",""
"   50","09-12-2001","30343",1,"",""
"   49","10-12-2001","00089",1,"",""
"   48","09-12-2001","30343",1,"",""
"   47","06-12-2001","30343",1,"",""
"   46","03-12-2001","RUBIN",1,"",""
"   45","03-12-2001","RUBIN",1,"",""
"   44","29-11-2001","30368",1,"",""
"   43","29-11-2001","30343",1,"",""
"   42","29-11-2001","30343",1,"",""
"   41","29-11-2001","30343",1,"",""
"   40","29-11-2001","30343",1,"",""
"   39","26-11-2001","30343",1,"",""
"   38","22-11-2001","30343",1,"",""
"   37","15-11-2001","30077",1,"",""
"   36","13-11-2001","30249",1,"",""
"   35","13-11-2001","30343",1,"",""
"   34","13-11-2001","30002",1,"",""
"   33","13-11-2001","30002",1,"",""
"   32","12-11-2001","30002",1,"",""
"   31","12-11-2001","30343",1,"",""
"   30","12-11-2001","30249",1,"",""
"   29","06-11-2001","30343",1,"",""
"   28","06-11-2001","00VDB",1,"",""
"   27","05-11-2001","30249",1,"",""
"   26","30-10-2001","30249",1,"",""
"   25","11-09-2001","20PLU",1,"",""
"   24","10-09-2001","30343",1,"",""
"   23","18-09-2000","99999",1,"",""
"   22","26-08-2001","30343",1,"",""
"   21","12-07-2001","99999",1,"",""
"   20","29-06-2001","99999",1,"",""
"   19","24-05-2001","30343",1,"",""
"   18","04-04-2001","99999",1,"",""
"   17","16-03-2001","99999",1,"",""
"   16","20-04-2001","99999",1,"",""
"   15","18-07-2000","99999",1,"",""
"   14","11-04-2000","99999",1,"",""
"   13","26-10-2000","99999",1,"",""
"   12","29-03-2001","99999",1,"",""
"   11","16-03-2001","99999",1,"",""
"   10","16-03-2001","99999",1,"",""
"    9","16-03-2001","99999",1,"",""
"    8","16-03-2001","99999",1,"",""
"    7","16-03-2001","99999",1,"",""
"    6","16-03-2001","99999",1,"",""
"    5","22-02-2001","99999",1,"",""
"    4","15-09-2000","99999",1,"",""
"    3","15-09-2000","99999",1,"",""
"    2","01-01-1998","99999",1,"",""
"    1","24-11-1999","00158",1,"",""
"   60","06-02-2002","30408",0,"",""
"   62","06-02-2002","30060",0,"",""
"   64","06-02-2002","30500",1,"",""
"   65","07-02-2002","30249",1,"",""
"   66","07-02-2002","30501",0,"",""
"   67","07-02-2002","30004",0,"",""
"   68","13-02-2002","30343",1.55,"",""
"   69","22-02-2002","00067",0,"",""
"   70","25-02-2002","00089",0,"",""
"   71","25-02-2002","00477",0,"",""
"   72","25-02-2002","00067",0,"",""
"   73","25-02-2002","00129",0,"",""
"   74","28-02-2002","00067",0,"",""
"   75","01-03-2002","30249",0,"",""
"   76","07-03-2002","00067",1,"",""
"   78","08-03-2002","20PLU",1,"",""
"   80","13-03-2002","00189",1,"",""
"   84","22-03-2002","00189",1,"",""
"   85","27-03-2002","30522",1,"",""
"   87","27-03-2002","30523",1,"",""
"   88","27-03-2002","30524",1,"",""
"   89","05-04-2002","16142",1,"",""
"   90","11-04-2002","30530",1,"",""
"   91","11-04-2002","30515",1,"",""
"   92","11-04-2002","30531",1,"",""
"   93","12-04-2002","30515",1,"",""
"   94","14-04-2002","30249",1,"",""
"   95","17-04-2002","00340",1,"",""
"   96","18-04-2002","05006",1,"",""
"   97","19-04-2002","00067",1,"",""
"   98","19-04-2002","00129",1,"",""
"   99","19-04-2002","00067",1,"",""
"  101","22-04-2002","30377",1,"",""
"  102","22-04-2002","30508",1,"",""
"  103","22-04-2002","30PO",1,"",""
"  104","22-04-2002","00012",1,"",""
"  105","22-04-2002","30507",1,"",""
"  107","22-04-2002","30SE",1,"",""
"  108","23-04-2002","30088",1,"",""
"  109","23-04-2002","30GEL",1,"",""
"  110","23-04-2002","30129",1,"",""
"  111","23-04-2002","30249",1,"",""
"  112","23-04-2002","30075",1,"",""
"  113","23-04-2002","30FRI",1,"",""
"  114","23-04-2002","30SUK",1,"",""
"  115","23-04-2002","30YEC",1,"",""
"  116","23-04-2002","30HAL",1,"",""
"  118","23-04-2002","30445",1,"",""
"  119","23-04-2002","00064",1,"",""
"  120","23-04-2002","30SE",1,"",""
"  121","23-04-2002","30MAR",1,"",""
"  122","23-04-2002","30ZIZ",1,"",""
"  123","23-04-2002","30DAV",1,"",""
"  125","25-04-2002","30249",1.55,"",""
"  126","25-04-2002","30343",1.55,"",""
"  127","26-04-2002","00067",1,"",""
"  128","29-04-2002","00STE",1,"",""
"  129","29-04-2002","30508",1,"",""
"  130","29-04-2002","30DRO",1,"",""
"  131","29-04-2002","00129",1,"",""
"  132","29-04-2002","30BEN",1,"",""
"  133","29-04-2002","30FR",1,"",""
"  134","29-04-2002","30515",1,"",""
"  135","02-05-2002","30515",1,"",""
"  136","02-05-2002","30ZO",1,"",""
"  137","02-05-2002","30507",1,"",""
"  139","03-05-2002","00340",1,"",""
"  140","06-05-2002","30CO",1,"",""
"  141","06-05-2002","30002",1.55,"",""
"  142","07-05-2002","00NA",1,"",""
"  143","07-05-2002","00067",1,"",""
"  144","07-05-2002","00067",1,"",""
"  145","07-05-2002","00067",1,"",""
"  146","07-05-2002","00089",1,"",""
"  147","07-05-2002","00129",1,"",""
"  148","08-05-2002","00297",1,"",""
"  149","08-05-2002","30FA",1,"",""
"  150","08-05-2002","30515",1,"",""
"  151","08-05-2002","30FD",1,"",""
"  152","08-05-2002","30ELI",1,"",""
"  153","08-05-2002","30088",1,"",""
"  155","08-05-2002","30BA",1,"",""
"  158","08-05-2002","30EL",1,"",""
"  159","08-05-2002","30040",1,"",""
"  160","08-05-2002","00108",1,"",""
"  161","08-05-2002","30ZIZ",1,"",""
"  162","08-05-2002","30226",1,"",""
"  163","08-05-2002","30ELI",1,"",""
"  164","08-05-2002","30FD",1,"",""
"  165","08-05-2002","30DA",1,"",""
"  166","08-05-2002","30149",1,"",""
"  167","08-05-2002","30249",1.55,"",""
"  168","10-05-2002","00067",1,"",""
"  170","10-05-2002","30249",1,"",""
"  171","13-05-2002","30AR",1,"",""
"  173","13-05-2002","30MO",1,"",""
"  174","13-05-2002","30515",1,"",""
"  175","13-05-2002","30HER",1,"",""
"  178","16-05-2002","30YAI",1,"",""
"  179","30-05-2002","30343",1,"",""
"  180","30-05-2002","30343",1.55,"",""
"  181","30-05-2002","30343",1,"",""
"  182","30-05-2002","30343",1,"",""
"  183","30-05-2002","30343",1,"",""
"  184","30-05-2002","30249",1,"",""
"  185","11-06-2002","30249",1,"",""
"  186","17-06-2002","30FR",1,"",""
"  187","17-06-2002","30040",1,"",""
"  188","18-06-2002","30057",1,"",""
"  189","19-06-2002","30343",1,"",""
"  190","20-06-2002","00067",1,"",""
"  191","20-06-2002","00DIA",1,"",""
"  192","20-06-2002","00VET",1,"",""
"  193","20-06-2002","00067",1,"",""
"  195","21-06-2002","00067",1,"",""
"  196","21-06-2002","30ELA",1,"",""
"  198","21-06-2002","00ASH",1,"",""
"  199","09-07-2002","20007",1,"",""
"  201","15-07-2002","30249",1,"",""
"  203","17-07-2002","00067",1,"",""
"  204","19-08-2002","30040",1,"",""
"  205","19-08-2002","30249",1,"",""
"  206","19-08-2002","30002",1,"",""
"  207","19-08-2002","30343",1,"",""
"  208","19-08-2002","30BEP",1,"",""
"  209","19-08-2002","30002",1,"",""
"  210","19-08-2002","30478",1,"",""
"  211","19-08-2002","30DAV",1,"",""
"  212","19-08-2002","00129",1,"",""
"  213","19-08-2002","00477",1,"",""
"  214","19-08-2002","30249",1,"",""
"  215","20-08-2002","30343",1,"",""
"  216","21-08-2002","00089",1,"",""
"  217","22-08-2002","00471",1,"",""
"  218","22-08-2002","00 AB",1,"",""
"  219","22-08-2002","00471",1,"",""
"  220","22-08-2002","00067",1,"",""
"  221","23-08-2002","30MEN",1,"",""
"  222","23-08-2002","30088",1,"",""
"  223","23-08-2002","20NAT",1,"",""
"  224","23-08-2002","30YAC",1,"",""
"  225","23-08-2002","30NAM",1,"",""
"  226","26-08-2002","30YIZ",1,"",""
"  228","26-08-2002","30AV",1,"",""
"  229","26-08-2002","30HOD",1,"",""
"  230","26-08-2002","30PRN",1,"",""
"  231","26-08-2002","30335",1,"",""
"  232","26-08-2002","30HA",1,"",""
"  233","26-08-2002","30SCH",1,"",""
"  234","27-08-2002","00340",1,"",""
"  235","27-08-2002","00477",1,"",""
"  236","28-08-2002","00067",1,"",""
"  237","28-08-2002","00067",1,"",""
"  238","28-08-2002","30SE",1,"",""
"  239","28-08-2002","30526",1,"",""
"  240","28-08-2002","30NAM",1,"",""
"  242","28-08-2002","30486",1,"",""
"  243","29-08-2002","00474",1,"",""
"  244","29-08-2002","00296",1,"",""
"  245","29-08-2002","00089",1,"",""
"  247","30-08-2002","00SU",1,"",""
"  248","30-08-2002","00067",1,"",""
"  249","02-09-2002","00SU",1,"",""
"  250","02-09-2002","30053",1,"",""
"  251","02-09-2002","00474",1,"",""
"  252","02-09-2002","30516",1,"",""
"  253","02-09-2002","30CO",1,"",""
"  254","02-09-2002","30TR",1,"",""
"  255","02-09-2002","30PAS",1,"",""
"  256","02-09-2002","30044",1,"",""
"  257","02-09-2002","30FRI",1,"",""
"  258","02-09-2002","30EL",1,"",""
"  259","02-09-2002","00005",1,"",""
"  260","02-09-2002","00FLO",1,"",""
"  261","02-09-2002","00210",1,"",""
"  262","03-09-2002","30OFE",1,"",""
"  263","03-09-2002","30526",1,"",""
"  264","03-09-2002","30FRI",1,"",""
"  265","03-09-2002","30088",1,"",""
"  266","03-09-2002","30300",1,"",""
"  267","03-09-2002","00089",1,"",""
"  268","04-09-2002","30RAZ",1,"",""
"  269","04-09-2002","30507",1,"",""
"  270","04-09-2002","30AV",1,"",""
"  271","04-09-2002","30040",1,"",""
"  272","04-09-2002","30298",1,"",""
"  273","04-09-2002","30057",1,"",""
"  274","04-09-2002","00148",1,"",""
"  276","04-09-2002","30OR",1,"",""
"  277","04-09-2002","30509",1,"",""
"  278","04-09-2002","MENAM",1,"",""
"  279","04-09-2002","30CHA",1,"",""
"  280","04-09-2002","30403",1,"",""
"  281","04-09-2002","30MIL",1,"",""
"  282","04-09-2002","30PRN",1,"",""
"  283","04-09-2002","00075",1,"",""
"  284","04-09-2002","30528",1,"",""
"  285","04-09-2002","30ZA",1,"",""
"  286","04-09-2002","30LU",1,"",""
"  287","04-09-2002","30304",1,"",""
"  288","04-09-2002","30251",1,"",""
"  289","04-09-2002","30241",1,"",""
"  290","04-09-2002","30NES",1,"",""
"  291","04-09-2002","30AV",1,"",""
"  292","04-09-2002","30VI",1,"",""
"  293","04-09-2002","30DU",1,"",""
"  294","04-09-2002","30BA",1,"",""
"  295","04-09-2002","30LU",1,"",""
"  296","04-09-2002","30ZV",1,"",""
"  297","04-09-2002","30251",1,"",""
"  299","05-09-2002","00442",1,"",""
"  300","05-09-2002","00089",1,"",""
"  301","05-09-2002","00442",1,"",""
"  302","05-09-2002","00442",1,"",""
"  303","05-09-2002","ROY",1,"",""
"  304","05-09-2002","00067",1,"",""
"  305","05-09-2002","00132",1,"",""
"  306","05-09-2002","00442",1,"",""
"  309","05-09-2002","30ELA",1,"",""
"  310","05-09-2002","30DU",1,"",""
"  311","05-09-2002","30CA",1,"",""
"  312","05-09-2002","30508",1,"",""
"  313","06-09-2002","00FLO",1,"",""
"  314","06-09-2002","00FLO",1,"",""
"  315","09-09-2002","30YI",1,"",""
"  316","09-09-2002","30FR",1,"",""
"  317","10-09-2002","00471",1,"",""
"  318","10-09-2002","00MEN",1,"",""
"  319","10-09-2002","DH",1,"",""
"  320","10-09-2002","00067",1,"",""
"  321","10-09-2002","00089",1,"",""
"  322","11-09-2002","00067",1,"",""
"  323","11-09-2002","30UR",1,"",""
"  324","11-09-2002","30135",1,"",""
"  325","11-09-2002","30531",1,"",""
"  327","12-09-2002","30SA",1,"",""
"  328","12-09-2002","30NAM",1,"",""
"  329","12-09-2002","30135",1,"",""
"  330","12-09-2002","30089",1,"",""
"  331","12-09-2002","16BLE",1,"",""
"  332","13-09-2002","30HA",1,"",""
"  333","13-09-2002","30ZA",1,"",""
"  334","13-09-2002","30300",1,"",""
"  335","13-09-2002","30YE",1,"",""
"  336","17-09-2002","SIT",1,"",""
"  337","17-09-2002","30DU",1,"",""
"  338","17-09-2002","30034",1,"",""
"  339","17-09-2002","30151",1,"",""
"  340","17-09-2002","30SA",1,"",""
"  341","17-09-2002","30BEN",1,"",""
"  342","17-09-2002","30516",1,"",""
"  343","17-09-2002","00089",1,"",""
"  344","17-09-2002","00189",1,"",""
"  345","18-09-2002","00067",1,"",""
"  346","18-09-2002","20000",1,"",""
"  347","18-09-2002","30DAV",1,"",""
"  348","18-09-2002","YACOV",1,"",""
"  349","18-09-2002","30507",1,"",""
"  350","18-09-2002","30FR",1,"",""
"  351","18-09-2002","30002",1,"",""
"  352","19-09-2002","30526",1,"",""
"  353","19-09-2002","00067",1,"",""
"  354","20-09-2002","30HOD",1,"",""
"  355","20-09-2002","30YAR",1,"",""
"  356","20-09-2002","30OR",1,"",""
"  357","20-09-2002","30135",1,"",""
"  358","20-09-2002","30FR",1,"",""
"  359","20-09-2002","30358",1,"",""
"  360","20-09-2002","30185",1,"",""
"  361","20-09-2002","30AL",1,"",""
"  362","23-09-2002","30034",1,"",""
"  363","23-09-2002","30SH",1,"",""
"  364","23-09-2002","30358",1,"",""
"  365","23-09-2002","30416",1,"",""
"  367","23-09-2002","30109",1,"",""
"  368","23-09-2002","30PR",1,"",""
"  369","23-09-2002","30528",1,"",""
"  370","23-09-2002","30MED",1,"",""
"  371","23-09-2002","30MOT",1,"",""
"  372","23-09-2002","30MAM",1,"",""
"  373","23-09-2002","30SA",1,"",""
"  374","23-09-2002","00552",1,"",""
"  375","23-09-2002","00067",1,"",""
"  376","25-09-2002","00471",1,"",""
